audio_path,label,pitch_var,energy_var,centroid_var
synthetic/monotone_00000.wav,monotone,0.033663,0.107127,0.042434
synthetic/monotone_00001.wav,monotone,0.01637,0.000326,0.089149
synthetic/monotone_00002.wav,monotone,0.03025,0.088229,0.036492
synthetic/monotone_00003.wav,monotone,0.048397,0.117728,0.056345
synthetic/monotone_00004.wav,monotone,0.021662,0.065732,0.036041
synthetic/monotone_00005.wav,monotone,0.030398,0.055353,0.077566
synthetic/monotone_00006.wav,monotone,0.024608,0.065842,0.106118
synthetic/monotone_00007.wav,monotone,0.019114,0.017283,0.070986
synthetic/monotone_00008.wav,monotone,0.0,0.090575,0.089452
synthetic/monotone_00009.wav,monotone,0.031052,0.080371,0.0
synthetic/monotone_00010.wav,monotone,0.03833,0.095852,0.02484
synthetic/monotone_00011.wav,monotone,0.058698,0.031039,0.009621
synthetic/monotone_00012.wav,monotone,0.002834,0.081039,0.070136
synthetic/monotone_00013.wav,monotone,0.036615,0.066506,0.03562
synthetic/monotone_00014.wav,monotone,0.042641,0.044097,0.023705
synthetic/monotone_00015.wav,monotone,0.05102,0.087103,0.074139
synthetic/monotone_00016.wav,monotone,0.039388,0.057128,0.044014
synthetic/monotone_00017.wav,monotone,0.039609,0.055314,0.070081
synthetic/monotone_00018.wav,monotone,0.028658,0.032229,0.088992
synthetic/monotone_00019.wav,monotone,0.01066,0.089319,0.06201
synthetic/monotone_00020.wav,monotone,0.048999,0.035215,0.043704
synthetic/monotone_00021.wav,monotone,0.028495,0.087234,0.086054
synthetic/monotone_00022.wav,monotone,0.034666,0.080994,0.09085
synthetic/monotone_00023.wav,monotone,0.061441,0.025779,0.059828
synthetic/monotone_00024.wav,monotone,0.041395,0.08343,0.103039
synthetic/monotone_00025.wav,monotone,0.024987,0.03944,0.086115
synthetic/monotone_00026.wav,monotone,0.0,0.06097,0.130982
synthetic/monotone_00027.wav,monotone,0.030394,0.094311,0.031452
synthetic/monotone_00028.wav,monotone,0.029652,0.074312,0.11575
synthetic/monotone_00029.wav,monotone,0.014849,0.0,0.0722
synthetic/monotone_00030.wav,monotone,0.05325,0.052453,0.005294
synthetic/monotone_00031.wav,monotone,0.013908,0.097343,0.043132
synthetic/monotone_00032.wav,monotone,0.030636,0.0,0.044389
synthetic/monotone_00033.wav,monotone,0.041824,0.069414,0.029279
synthetic/monotone_00034.wav,monotone,0.045779,0.119479,0.046038
synthetic/monotone_00035.wav,monotone,0.018873,0.131122,0.043502
synthetic/monotone_00036.wav,monotone,0.02755,0.152039,0.065606
synthetic/monotone_00037.wav,monotone,0.022569,0.000943,0.061062
synthetic/monotone_00038.wav,monotone,0.028701,0.055046,0.087766
synthetic/monotone_00039.wav,monotone,0.010629,0.016685,0.036355
synthetic/monotone_00040.wav,monotone,0.029184,0.018802,0.02374
synthetic/monotone_00041.wav,monotone,0.016828,0.076353,0.036895
synthetic/monotone_00042.wav,monotone,0.043597,0.0,0.069618
synthetic/monotone_00043.wav,monotone,0.019759,0.094926,0.116503
synthetic/monotone_00044.wav,monotone,0.027552,0.084124,0.082259
synthetic/monotone_00045.wav,monotone,0.008688,0.102734,0.081671
synthetic/monotone_00046.wav,monotone,0.026572,0.102451,0.061107
synthetic/monotone_00047.wav,monotone,0.017181,0.023766,0.086698
synthetic/monotone_00048.wav,monotone,0.055344,0.044927,0.06835
synthetic/monotone_00049.wav,monotone,0.010452,0.057642,0.042495
synthetic/monotone_00050.wav,monotone,0.011602,0.073564,0.087183
synthetic/monotone_00051.wav,monotone,0.037133,0.055978,0.100192
synthetic/monotone_00052.wav,monotone,0.032058,0.148861,0.018432
synthetic/monotone_00053.wav,monotone,0.074093,0.069856,0.022233
synthetic/monotone_00054.wav,monotone,0.012864,0.11431,0.084918
synthetic/monotone_00055.wav,monotone,0.041077,0.101407,0.023988
synthetic/monotone_00056.wav,monotone,0.026755,0.0,0.031632
synthetic/monotone_00057.wav,monotone,0.039002,0.002103,0.129246
synthetic/monotone_00058.wav,monotone,0.048022,0.031631,0.079889
synthetic/monotone_00059.wav,monotone,0.037433,0.072079,0.075941
synthetic/monotone_00060.wav,monotone,0.025136,0.076984,0.074853
synthetic/monotone_00061.wav,monotone,0.036445,0.091659,0.069378
synthetic/monotone_00062.wav,monotone,0.04407,0.110526,0.023811
synthetic/monotone_00063.wav,monotone,0.018386,0.137922,0.106535
synthetic/monotone_00064.wav,monotone,0.038213,0.068715,0.084454
synthetic/monotone_00065.wav,monotone,0.040163,0.017995,0.061981
synthetic/monotone_00066.wav,monotone,0.008974,0.061582,0.060947
synthetic/monotone_00067.wav,monotone,0.055805,0.0,0.049308
synthetic/monotone_00068.wav,monotone,0.040237,0.106695,0.08553
synthetic/monotone_00069.wav,monotone,0.015095,0.074831,0.046123
synthetic/monotone_00070.wav,monotone,0.049654,0.074488,0.060542
synthetic/monotone_00071.wav,monotone,0.032866,0.027622,0.075528
synthetic/monotone_00072.wav,monotone,0.013419,0.087326,0.038236
synthetic/monotone_00073.wav,monotone,0.047974,0.081516,0.117928
synthetic/monotone_00074.wav,monotone,0.0,0.134894,0.0858
synthetic/monotone_00075.wav,monotone,0.034388,0.168288,0.017158
synthetic/monotone_00076.wav,monotone,0.033189,0.129889,0.078216
synthetic/monotone_00077.wav,monotone,0.024322,0.105918,0.047543
synthetic/monotone_00078.wav,monotone,0.024889,0.053519,0.091628
synthetic/monotone_00079.wav,monotone,0.034682,0.180657,0.085408
synthetic/monotone_00080.wav,monotone,0.007749,0.112103,0.027336
synthetic/monotone_00081.wav,monotone,0.025857,0.085645,0.027289
synthetic/monotone_00082.wav,monotone,0.022419,0.053046,0.064227
synthetic/monotone_00083.wav,monotone,0.028897,0.075833,0.11119
synthetic/monotone_00084.wav,monotone,0.038137,0.097319,0.092919
synthetic/monotone_00085.wav,monotone,0.057934,0.13593,0.028349
synthetic/monotone_00086.wav,monotone,0.037922,0.110953,0.088911
synthetic/monotone_00087.wav,monotone,0.027883,0.08288,0.033416
synthetic/monotone_00088.wav,monotone,0.024472,0.033344,0.09822
synthetic/monotone_00089.wav,monotone,0.022208,0.042693,0.06886
synthetic/monotone_00090.wav,monotone,0.031602,0.05255,0.071299
synthetic/monotone_00091.wav,monotone,0.020607,0.100399,0.05919
synthetic/monotone_00092.wav,monotone,0.033261,0.064758,0.039917
synthetic/monotone_00093.wav,monotone,0.033826,0.017153,0.101542
synthetic/monotone_00094.wav,monotone,0.023165,0.163067,0.080154
synthetic/monotone_00095.wav,monotone,0.028605,0.055884,0.075576
synthetic/monotone_00096.wav,monotone,0.036942,0.097245,0.085188
synthetic/monotone_00097.wav,monotone,0.031811,0.125802,0.036985
synthetic/monotone_00098.wav,monotone,0.026948,0.104781,0.036599
synthetic/monotone_00099.wav,monotone,0.030651,0.1414,0.063171
synthetic/monotone_00100.wav,monotone,0.022957,0.125175,0.025921
synthetic/monotone_00101.wav,monotone,0.025026,0.122634,0.036898
synthetic/monotone_00102.wav,monotone,0.033867,0.077206,0.107021
synthetic/monotone_00103.wav,monotone,0.008672,0.058342,0.050252
synthetic/monotone_00104.wav,monotone,0.035607,0.102078,0.072703
synthetic/monotone_00105.wav,monotone,0.051287,0.106879,0.021573
synthetic/monotone_00106.wav,monotone,0.008324,0.058501,0.044231
synthetic/monotone_00107.wav,monotone,0.023448,0.121948,0.041064
synthetic/monotone_00108.wav,monotone,0.046636,0.125948,0.060935
synthetic/monotone_00109.wav,monotone,0.022182,0.131523,0.034629
